# One quote per line, format: text | author
The secret of getting ahead is getting started. | Mark Twain
Well done is better than well said. | Benjamin Franklin
What we think, we become. | Buddha
The journey of a thousand miles begins with a single step. | Lao Tzu
It always seems impossible until it's done. | Nelson Mandela
Simplicity is the ultimate sophistication. | Leonardo da Vinci
Do what you can, with what you have, where you are. | Theodore Roosevelt
The best way out is always through. | Robert Frost
Quality is not an act, it is a habit. | Aristotle
He who has a why to live can bear almost any how. | Friedrich Nietzsche
Action is the foundational key to all success. | Pablo Picasso
The mind is everything. What you think you become. | Buddha
Discipline is the bridge between goals and accomplishment. | Jim Rohn
Little by little, one travels far. | J.R.R. Tolkien
The future depends on what you do today. | Mahatma Gandhi
You miss 100% of the shots you don't take. | Wayne Gretzky
Whether you think you can or you think you can't, you're right. | Henry Ford
The only way to do great work is to love what you do. | Steve Jobs
Fall seven times, stand up eight. | Japanese Proverb
A year from now you may wish you had started today. | Karen Lamb
Begin anywhere. | John Cage
What you do every day matters more than what you do once in a while. | Gretchen Rubin
The obstacle is the way. | Marcus Aurelius
We are what we repeatedly do. | Will Durant
Slow is smooth, and smooth is fast. | Proverb
Tend the garden you can reach. | Anonymous
Small deeds done are better than great deeds planned. | Peter Marshall
The days are long but the years are short. | Gretchen Rubin
Order your soul. Reduce your wants. | Saint Augustine
Patience is also a form of action. | Auguste Rodin
